Page URL,Brand,Name,SKU,Out stock status,Currency,ccc,Price,Manufacturer,Main image,Description,Product ID,Additional Information,Meta description,Meta title,Old Price,Equivalency Weights,Quantity,Weight,Option,Option type,Option Value,Option image,Option price prefix,Cat tree 1 parent,Cat tree 1 level 1,Cat tree 1 level 2,Cat tree 2 parent,Cat tree 2 level 1,Cat tree 2 level 2,Cat tree 2 level 3,Image 2,Image 3,Image 4,Image 5,Sort order,Attribute 1,Attribute Value 1,Attribute 2,Attribute value 2,Attribute 3,Attribute value 3,Attribute 4,Attribute value 4,Reviews,Review link,Rating,Address,p_id
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=604839800&variant=462396200,Candre Cannabis Inc.,RGB Red Volt 72 - 72 Volt 3.5g Dried Flower,604839800,2,CAD,,56.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_flower_1.png?dpr=1&w=490&fit=fillmax,"RGB's Red 72 Volt is a rare legacy strain for folks ready to cut a rug wherever the beat drops. Big and beautiful, these nugs are manicured and packaged with supreme care in a package designed to keep things fresh. Diet weed? Not here. This top-shelf cannabis comes loaded with trichomes and respect you can taste.",604839800,,,,,,3.5,3.5g,,,,,,Flower,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_flower_1.png?dpr=3&w=490&fit=fillmax,,,,,CBD,NoneNone,THC,18.8mg,Product Type,Flower,,,,,,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=605210535&variant=539689378,Stigma Grow,Dab Bods Shatter - Indica 0.5 g Shatter,605210535,8,CAD,,28.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_concentrate_2.png?dpr=1&w=490&fit=fillmax,"Dab Bods shatter offers a high-quality hydrocarbon cannabis concentrate with impressive cannabanoid potencies up to 80 per cent and a translucent, glass-like consistency that is easy to dab vape or add to dry flower. Ideal for those who are new to dabbing, or looking for a high-value offering that doesn't skimp on the THC, this indica-heavy extract is priced and positioned to appeal to those who want the very best on a budget.",605210535,,,,,,1,each,,,,,,Concentrate,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_concentrate_2.png?dpr=3&w=490&fit=fillmax,,,,,CBD,2.5mg,THC,820mg,Product Type,Concentrate,,,,,,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=605013544&variant=474043733,Stigma Grow,NGL Vape Cartridges - Black NGL Zweet Inzanity Live Resin 0.5 g Prefilled Vape Cartridge,605013544,1,CAD,,39.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=1&w=490&fit=fillmax,"Not to be confused with distillates that lack the potent impact of the entourage effect, Black NGL's Live-Resin cartridges are jam-packed with the original cannabinoid, flavonoid and terpenes of your favourite fresh-frozen sativa strain. In addition to preserving and celebrating these mouth-watering, all-natural, full-spectrum profiles, our patented hydrocarbon extraction process offers unmatched consistency, purity and potency -- conveniently stored in a 510 threaded cartridge. Compatible with 510 thread devices. Device not included.",605013544,,,,,,1,1pc,,,,,,Cartridge,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=3&w=490&fit=fillmax,,,,,CBD,10mg,THC,84.95mg,Product Type,Cartridge,,,,,,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=604667831&variant=502255506,Candre Cannabis Inc.,Black Ser'Q PreRolls - Black Sero'Q 10 x 0.35g Pre-Rolls,604667831,9,CAD,,59.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=1&w=490&fit=fillmax,"Our line of hybrid cannabis ('black line') products features high-potency THC and is curated for every day consumers searching for high potency and exceptional value. A full-spectrum product featuring variable ancestry and terpenes, casual users will marvel at its ferocity and high tolerance users will lean on its hearty strength. Sero'Q is a rare and high-THC strain celebrated for the dainty crystals that decorate the plant from tip to stem. Toss out the curtains; this densely packed indica will help close out the day and tuck you in tight with smells of lavender, blueberry, grape and fuel.",604667831,,,,,,1,1pc,,,,,,PreRoll,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=3&w=490&fit=fillmax,,,,,CBD,NoneNone,THC,19.1mg,Product Type,PreRoll,,,,,,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=602715449&variant=512907463,AGLC,Pulsar Colored Bowl - Pulsar 14mm Colored Bowl ASST,602715449,3,CAD,,12.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_accessory.png?dpr=1&w=490&fit=fillmax,,602715449,,,,,,1,1pc,,,,,,Accessory,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_accessory.png?dpr=3&w=490&fit=fillmax,,,,,CBD,NoneNone,THC,NoneNone,Product Type,Accessory,,,,,,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=605013822&variant=486869256,Candre Cannabis Inc.,Violet Tourist Prerolls - Mini J's Black Cherry Punch 5 x 0.35 Pre-Rolls,605013822,5,CAD,,21.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=1&w=490&fit=fillmax,"Brought to you by the BRNT Group, Violet Tourist's Black Cherry Punch is a high-potency, terpene-rich indica-dominant flower that features visually stunning violet tones, with a piercing aroma of fruit, subtle floral background notes and earthy nuances. These five-packs of 0.35g Mini Js deliver this cultivar in convenient and simple pre-rolls that are perfect for sharing and quick hits.
",605013822,,,,,,1,1pc,,,,,,PreRoll,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=3&w=490&fit=fillmax,,,,,CBD,NoneNone,THC,21.74mg,Product Type,PreRoll,,,,,,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=605574193&variant=512907464,AGLC,Pulsar Colored Bowl - Pulsar 19mm Colored Bowl ASST,605574193,6,CAD,,12.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_accessory.png?dpr=1&w=490&fit=fillmax,,605574193,,,,,,1,1pc,,,,,,Accessory,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_accessory.png?dpr=3&w=490&fit=fillmax,,,,,CBD,NoneNone,THC,NoneNone,Product Type,Accessory,,,,,,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=605028946&variant=474043719,Candre Cannabis Inc.,QOB Pre-Rolls - Rosetta Quartz  2 x 0.5g Pre-rolls,605028946,10,CAD,,13.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=1&w=490&fit=fillmax,"Rosetta Stone is a large and vigorous plant that combines the genetics of Jack Herer and P75. Bred by Brothers Grimm Seeds and adjusted for superior resin production and increased yield, Rosetta Stone grows with well sparkled, bright, spear-like colas. Our phenotype grew with floral, lemon, citrus, herbal and spice notes and was terpinolene dominant, reminiscent of the old school Colombian Gold. These two 0.5g pre-rolls are hand finished by our highly trained staff (who are fellow consumers) in Sundre, AB, using Konehedz cones and filters and gently placed in their packaging for minimal agitation.",605028946,,,,,,1,1pc,,,,,,PreRoll,Hybrid,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_preroll.png?dpr=3&w=490&fit=fillmax,,,,,CBD,1mg,THC,21.7mg,Product Type,PreRoll,,,58,,4.741379310344827,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
