Page URL,Brand,Name,SKU,Out stock status,Currency,ccc,Price,Manufacturer,Main image,Description,Product ID,Additional Information,Meta description,Meta title,Old Price,Equivalency Weights,Quantity,Weight,Option,Option type,Option Value,Option image,Option price prefix,Cat tree 1 parent,Cat tree 1 level 1,Cat tree 1 level 2,Cat tree 2 parent,Cat tree 2 level 1,Cat tree 2 level 2,Cat tree 2 level 3,Image 2,Image 3,Image 4,Image 5,Sort order,Attribute 1,Attribute Value 1,Attribute 2,Attribute value 2,Attribute 3,Attribute value 3,Attribute 4,Attribute value 4,Reviews,Review link,Rating,Address,p_id
https://www.leafly.com/dispensary-info/nova-cannabis---red-deer-village-mall?menuItem=605250662&variant=488823306,RGB Cannabis,RGB Cannabis - 72 Volt - 3.5g,605250662,,CAD,,41.95,Value Buds - Red Deer Village Mall,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-public%2Fmenu%2FR0YOtStVStmXC1mpSeHs_RGB%20cannabis.jpg?ixlib=js-2.3.2&dpr=1&w=490&fit=fillmax&s=55f12f57fecd14b2c14c3f61e6ba4d7a,"RGB's Red 72 Volt is a rare legacy strain for folks ready to cut a rug wherever the beat drops. Big and beautiful, these nugs are manicured and packaged with supreme care in a package designed to keep things fresh. Diet weed? Not here. This top-shelf cannabis comes loaded with trichomes and respect you can taste.




",605250662,,,,,,3.5,3.5g,,,,,,Flower,,,,,,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-public%2Fmenu%2FR0YOtStVStmXC1mpSeHs_RGB%20cannabis.jpg?ixlib=js-2.3.2&dpr=3&w=490&fit=fillmax&s=4f1f78db4957c820060e54f4ad25cc34,,,,,CBD,0%,THC,22%,Product Type,Flower,,,,,,"50 Ave 6380 Red Deer, AB T4N 4C6",317999
https://www.leafly.com/dispensary-info/nova-cannabis-mayfeild-common?menuItem=604994073&variant=472274283,RGB Cannabis,RBG Cannabis - Sero'Q Dog Walker Pre-rolls - 10x0.35g,604994073,,CAD,,44.95,Value Buds - Mayfield Common,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-production.imgix.net%2Fhttps%253A%252F%252Fs3-us-west-2.amazonaws.com%252Fleafly-public%252Fmenu%252FeoPwMFseSeerbqj7BRkx_RGB%2520cannabis.jpg%3Fh%3D196%26w%3D196%26auto%3Dcompress%252Cformat%26ixlib%3Djs-2.3.1%26s%3D72369083a9e6ad0466197dab6fd17418?ixlib=js-2.3.2&dpr=1&w=490&fit=fillmax&s=7f83f3e07f12f72534223cc2f90ecedb,"Our line of hybrid cannabis ('black line') products features high-potency THC and is curated for every day consumers searching for high potency and exceptional value. A full-spectrum product featuring variable ancestry and terpenes, casual users will marvel at its ferocity and high tolerance users will lean on its hearty strength. Sero'Q is a rare and high-THC strain celebrated for the dainty crystals that decorate the plant from tip to stem. Toss out the curtains; this densely packed indica will help close out the day and tuck you in tight with smells of lavender, blueberry, grape and fuel.








",604994073,,,,,,10,10pc,,,,,,PreRoll,,,,,,,https://leafly-production.imgix.net/https%3A%2F%2Fleafly-production.imgix.net%2Fhttps%253A%252F%252Fs3-us-west-2.amazonaws.com%252Fleafly-public%252Fmenu%252FeoPwMFseSeerbqj7BRkx_RGB%2520cannabis.jpg%3Fh%3D196%26w%3D196%26auto%3Dcompress%252Cformat%26ixlib%3Djs-2.3.1%26s%3D72369083a9e6ad0466197dab6fd17418?ixlib=js-2.3.2&dpr=3&w=490&fit=fillmax&s=597492185a42d75bcc35e0b6b831538f,,,,,CBD,0%,THC,22%,Product Type,PreRoll,,,,,,"Mayfield Common Northwest 120West EdmontonEdmonton, AB T5P 4B3",315694
https://www.leafly.com/dispensary-info/nova-cannabis-mayfeild-common?menuItem=489468129&variant=132792403,Stigma Grow,Stigma Grow - Chapter 1 Badder - 1g,489468129,0,CAD,,71.95,Value Buds - Mayfield Common,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FkgSX5GKGRrD4nAeysj3h_stigma%20grow.PNG?ixlib=js-2.3.2&dpr=1&w=490&fit=fillmax&s=868f7ba6b355968c6a6b11f5d0994f0d,"""Chapter 1 Badder, also referred to as 'Cake Batter' or 'Budder' comes in a variety of hybrid strains and represents the second extract product offered by Stigma Grow. Badder offers strong aromas and a creamy texture that dabbers find easy to work with. Created via our unique and efficient hydrocarbon extraction process, users will be treated to optimum purity, potency, and terpene-rich flavours.
""
",489468129,,,,,,1,1g,,,,,,Concentrate,,,,,,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FkgSX5GKGRrD4nAeysj3h_stigma%20grow.PNG?ixlib=js-2.3.2&dpr=3&w=490&fit=fillmax&s=717b1b25765f6c5bab74235b722d5a51,,,,,CBD,0mg,THC,68mg,Product Type,Concentrate,,,,,,"Mayfield Common Northwest 120West EdmontonEdmonton, AB T5P 4B3",315694
https://www.leafly.com/dispensary-info/nova-cannabis-grove-landing?menuItem=605457177&variant=502215780,RGB Cannabis,RGB Cannabis - 72 Volt - 3.5g,605457177,0,CAD,,41.95,Value Buds - Grove Landing,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-public%2Fmenu%2FUXzKNyADRTeyhtwcx89q_RGB%20cannabis.jpg?ixlib=js-2.3.2&dpr=1&w=490&fit=fillmax&s=d0fffed5d919e77726bdf518d32bb2c4,"RGB's Red 72 Volt is a rare legacy strain for folks ready to cut a rug wherever the beat drops. Big and beautiful, these nugs are manicured and packaged with supreme care in a package designed to keep things fresh. Diet weed? Not here. This top-shelf cannabis comes loaded with trichomes and respect you can taste.




",605457177,,,,,,3.5,3.5g,,,,,,Flower,,,,,,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-public%2Fmenu%2FUXzKNyADRTeyhtwcx89q_RGB%20cannabis.jpg?ixlib=js-2.3.2&dpr=3&w=490&fit=fillmax&s=fc1182f35b6971c1b49edecea8831198,,,,,CBD,0%,THC,19%,Product Type,Flower,,,,,,"Nelson Dr 17 Spruce Grove, AB T7X 3X3",301328
https://www.leafly.com/dispensary-info/nova-cannabis-mayfeild-common?menuItem=604994057&variant=472272466,RGB Cannabis,RBG Cannabis - 72 Volt - 3.5g,604994057,,CAD,,41.95,Value Buds - Mayfield Common,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-public%2Fmenu%2FeoPwMFseSeerbqj7BRkx_RGB%20cannabis.jpg?ixlib=js-2.3.2&dpr=1&w=490&fit=fillmax&s=56d47524484422edf2cdaa0993fe7718,"RGB's Red 72 Volt is a rare legacy strain for folks ready to cut a rug wherever the beat drops. Big and beautiful, these nugs are manicured and packaged with supreme care in a package designed to keep things fresh. Diet weed? Not here. This top-shelf cannabis comes loaded with trichomes and respect you can taste.




",604994057,,,,,,3.5,3.5g,,,,,,Flower,,,,,,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-public%2Fmenu%2FeoPwMFseSeerbqj7BRkx_RGB%20cannabis.jpg?ixlib=js-2.3.2&dpr=3&w=490&fit=fillmax&s=5ba5766681ba2df75bfe23f417bbeba9,,,,,CBD,0%,THC,22%,Product Type,Flower,,,,,,"Mayfield Common Northwest 120West EdmontonEdmonton, AB T5P 4B3",315694
https://www.leafly.com/dispensary-info/nova-cannabis-jasper-gates?menuItem=474594106&variant=111778439,Stigma Grow,Stigma Grow - Chapter 1 Badder Resin - 1g,474594106,,CAD,,71.95,Value Buds - Jasper Gates,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2F290TTvrQTj2LgyBRHBx5_stigma%20grow.PNG?ixlib=js-2.3.2&dpr=1&w=490&fit=fillmax&s=bacaa4a475d8d338d195c97eb12be06e,"Chapter 1 Badder, also referred to as 'Cake Batter' or 'Budder' comes in a variety of hybrid strains and represents the second extract product offered by Stigma Grow. Badder offers strong aromas and a creamy texture that dabbers find easy to work with. Created via our unique and efficient hydrocarbon extraction process, users will be treated to optimum purity, potency, and terpene-rich flavours.
",474594106,,,,,,1,1g,,,,,,Concentrate,,,,,,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2F290TTvrQTj2LgyBRHBx5_stigma%20grow.PNG?ixlib=js-2.3.2&dpr=3&w=490&fit=fillmax&s=f1874859faa46c9cc6a457baf17082b9,,,,,CBD,0%,THC,67.7%,Product Type,Concentrate,,,,,,"Stony Plain Rd 14971West Jasper PlaceEdmonton, AB T5P 4W1",306661
https://www.leafly.com/dispensary-info/nova-cannabis-shoppersouth?menuItem=602436406&variant=308469366,Stigma Grow,Stigma Grow - Chapter 1 Badder Resin - 1g ,602436406,0,CAD,,71.95,Value Buds - Off Whyte,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FOy8OLXqKR0e8I338n6gr_stigma-grow.PNG?ixlib=js-2.3.2&dpr=1&w=490&fit=fillmax&s=9fe87e70193ed5b6eec16436b61d7669,"Chapter 1 Badder, also referred to as 'Cake Batter' or 'Budder' comes in a variety of hybrid strains and represents the second extract product offered by Stigma Grow. Badder offers strong aromas and a creamy texture that dabbers find easy to work with. Created via our unique and efficient hydrocarbon extraction process, users will be treated to optimum purity, potency, and terpene-rich flavours.",602436406,,,,,,1,1g,,,,,,Concentrate,,,,,,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-images%2Fmenu%2FOy8OLXqKR0e8I338n6gr_stigma-grow.PNG?ixlib=js-2.3.2&dpr=3&w=490&fit=fillmax&s=798342027b5dab6b2fd9032fef168399,,,,,CBD,0.12%,THC,59.1%,Product Type,Concentrate,,,,,,"104 St NW 8015Strathcona JunctionEdmonton, AB T6E 4E3",301327
https://www.leafly.com/dispensary-info/nova-cannabis-namao?menuItem=605215578&variant=486735923,RGB Cannabis,RGB Cannabis - 72 Volt - 3.5g,605215578,,CAD,,41.95,Value Buds - Namao,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-public%2Fmenu%2FxlOpmw5zSZmOCx5W5NRy_RGB%20cannabis.jpg?ixlib=js-2.3.2&dpr=1&w=490&fit=fillmax&s=2a46edb1038e494632af92a12b7142fc,"RGB's Red 72 Volt is a rare legacy strain for folks ready to cut a rug wherever the beat drops. Big and beautiful, these nugs are manicured and packaged with supreme care in a package designed to keep things fresh. Diet weed? Not here. This top-shelf cannabis comes loaded with trichomes and respect you can taste.






",605215578,,,,,,3.5,3.5g,,,,,,Flower,,,,,,,https://leafly-production.imgix.net/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fleafly-public%2Fmenu%2FxlOpmw5zSZmOCx5W5NRy_RGB%20cannabis.jpg?ixlib=js-2.3.2&dpr=3&w=490&fit=fillmax&s=a341c1fd8393c861f3213ae2dea1ad01,,,,,CBD,0%,THC,19%,Product Type,Flower,,,,,,"95 St 16616Lake DistrictEdmonton, AB T5Z 3L2",301329
