Page URL,Brand,Name,SKU,Out stock status,Currency,ccc,Price,Manufacturer,Main image,Description,Product ID,Additional Information,Meta description,Meta title,Old Price,Equivalency Weights,Quantity,Weight,Option,Option type,Option Value,Option image,Option price prefix,Cat tree 1 parent,Cat tree 1 level 1,Cat tree 1 level 2,Cat tree 2 parent,Cat tree 2 level 1,Cat tree 2 level 2,Cat tree 2 level 3,Image 2,Image 3,Image 4,Image 5,Sort order,Attribute 1,Attribute Value 1,Attribute 2,Attribute value 2,Attribute 3,Attribute value 3,Attribute 4,Attribute value 4,Reviews,Review link,Rating,Address,p_id
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=605210535&variant=539689378,Stigma Grow,Dab Bods Shatter - Indica 0.5 g Shatter,605210535,10,CAD,,28.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_concentrate_2.png?dpr=1&w=490&fit=fillmax,"Dab Bods shatter offers a high-quality hydrocarbon cannabis concentrate with impressive cannabanoid potencies up to 80 per cent and a translucent, glass-like consistency that is easy to dab vape or add to dry flower. Ideal for those who are new to dabbing, or looking for a high-value offering that doesn't skimp on the THC, this indica-heavy extract is priced and positioned to appeal to those who want the very best on a budget.",605210535,,,,,,1,each,,,,,,Concentrate,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_concentrate_2.png?dpr=3&w=490&fit=fillmax,,,,,CBD,2.5mg,THC,820mg,Product Type,Concentrate,,,,,,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=605013833&variant=486869222,Stigma Grow,Dab Bods Shatter - Sativa 0.5 g Shatter,605013833,1,CAD,,28.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_concentrate_2.png?dpr=1&w=490&fit=fillmax,"Dab Bods shatter offers a high-quality hydrocarbon cannabis concentrate with impressive cannabanoid potencies up to 80 per cent and a translucent, glass-like consistency that is easy to dab vape or add to dry flower. Ideal for those who are new to dabbing, or looking for a high-value offering that doesn't skimp on the THC, this sativa-heavy extract is priced and positioned to appeal to those who want the very best on a budget.",605013833,,,,,,1,each,,,,,,Concentrate,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_concentrate_2.png?dpr=3&w=490&fit=fillmax,,,,,CBD,2.5mg,THC,820mg,Product Type,Concentrate,,,,,,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
https://www.leafly.com/dispensary-info/moderna-cannabis-society?menuItem=605013544&variant=474043733,Stigma Grow,NGL Vape Cartridges - Black NGL Zweet Inzanity Live Resin 0.5 g Prefilled Vape Cartridge,605013544,4,CAD,,39.99,Moderna Cannabis Society,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=1&w=490&fit=fillmax,"Not to be confused with distillates that lack the potent impact of the entourage effect, Black NGL's Live-Resin cartridges are jam-packed with the original cannabinoid, flavonoid and terpenes of your favourite fresh-frozen sativa strain. In addition to preserving and celebrating these mouth-watering, all-natural, full-spectrum profiles, our patented hydrocarbon extraction process offers unmatched consistency, purity and potency -- conveniently stored in a 510 threaded cartridge. Compatible with 510 thread devices. Device not included.",605013544,,,,,,1,1pc,,,,,,Cartridge,,,,,,,https://leafly-public.imgix.net/shared-web-images/product-type-icons/menu_cartridge.png?dpr=3&w=490&fit=fillmax,,,,,CBD,10mg,THC,84.95mg,Product Type,Cartridge,,,,,,"Mahogany Centre SE 155MahoganyCalgary, AB T3M 0T2",316874
